pH,Temperature,Concentration,Decolorization
9,45,50,54.3
7,35,100,80.1
5,45,150,28.1
7,18.18207169,100,59.7
7,35,15.91035847,88
7,51.81792831,100,29.3
7,35,100,80.8
5,45,50,46.5
5,25,50,62.4
10.36358566,35,100,50.1
9,25,50,70.1
9,45,150,36.4
7,35,100,80
9,25,150,60.1
5,25,150,49.2
7,35,184.0896415,59.3
7,35,100,80.5
3.636414339,35,100,33.8
7,35,100,82.4
7,35,100,82.5
