pH,Temperature,Concentration,Decolorization
9,45,50,61.1
7,35,100,76.5
5,45,150,18.2
7,18.18207169,100,54.9
7,35,15.91035847,85.4
7,51.81792831,100,20.7
7,35,100,78.8
5,45,50,38.4
5,25,50,60.8
10.36358566,35,100,50.9
9,25,50,70.1
9,45,150,30.2
7,35,100,76.8
9,25,150,51.9
5,25,150,46.8
7,35,184.0896415,50.1
7,35,100,77.8
3.636414339,35,100,30.2
7,35,100,75.8
7,35,100,77.3
